A&AS,advisory and assistance services
GSD,general support division
GSE,ground support equipment
GSFC,gadded space flight center thermal vacuumchamber
GSI,government source inspection
GSIS,graphics standard interface standard
GSM,ground safety manager
GSM,global system for mobile communication
GSM,global service manager
GSO,general service officers
GSOIA,general security of information agreement
GSOMIA,general security of military informationagreement
GSS,general support system
GST,government standard translator
GSU,geographical separated unit
GT,guaranteed traffic
GTA,guaranteed traffic agreement
GTC,government travel card
GTE,gas turbine engine
GTE,general telephone
GTE,government technical evaluator
GTM,glass to metal
GTN,global transportation network
GTR,government transportation requests
GTR,government transportation request
GTS,ground training system
GTV,ground test vehicle
GUI,graphical user interface
GUID,group user id
GVT,ground vibration test
GVT,government
GVW,gross vehicle weight
GW,gateway
GWAT,government-wide acquisition contract
GWEF,guided weapons evaluation facility
GWEN,ground wave emergency network
GWOT,global war on terrorism
GWU,george washington university
H/W,hardware
HA,hazard assessment
HA,higher authority
HAB,heavy assault bridge
HAC,house appropriations committee
HACCP,hazard analysis critical control point
HACT,helicopter active control technology
HAE,high-altitude endurance
HAF,headquarters air force
HAFMDS,headquarters air force manpower data system
HALO,high altitude low opening
HAMS,"hardness, assurance, maintenance, andsurveillance"
HAMS,holding area munitions
HAMS,"harness, assurance, maintenance, andsurvivability"
HANSA,hanscom satellite element set inventory
HAP,high accident potential
HAR,helicopter aerial refueling
HARE,hanscom automated request for proposalenvironment
HARM,"hi-speed, antiradiation missile"
HAS,hardened aircraft shelter
HAS,hazard analysis summary
HASC,house armed services committee
HAZWOPER,hazardous waste operations and emergencyresponse
HBC,house budget committee
HBCU,historically black college and university
HBO,high band operator
HC,host country
HC1,hydrochloric acid
HCA,head of contracting activity
HCA,head of contracting agency
HCF,high-carbon ferrochrome
HCF,high cycle fatigue
HCM,hardman comparability methodology
HCN,host country national
HCP,health care provider
HCP,hardness critical procedure
HCS,hazard communication standard
HCTR,high capacity trunk radio
HD,high definition 
HD,high density
HDC,hughes defense comma
HDIP,hazardous duty incentive pay
HDL,harry diamond laboratory
HDL,hardware description language
HDLC,high level data link control
HDR,header
HDRRM,high-density radiation-resistantmicroelectronics
HE,human engineering
HE,high explosive
HEAT,high explosive anti tank
HEDR,human engineering domain report
HEDRS,hm&e equipment data research system
HEED,helicopter emergency egress device
HEEL,helicopter emergency egress lighting
HEELS,helicopter emergency egress lighting system
HEI,high explosive incendiary
HELSTF,high energy laser system test facility
HEMP,high altitude electromagnetic pulse
HEMTT,heavy expanded mobility tactical truck
HEO,high earth orbit
HERO,hazard of electromagnetic radiation toordinance
HERS,helicopter expedient refueling system
HERT,headquarter emergency relocation team
HET,heavy equipment transported
HF,human factors
HF,high frequency
HFAC,house foreign affair committee
HFE,human factors engineering
HFEA,human factor engineering analysis
HFP/IDP,hostile fire/imminent danger pay
HFSWR,high frequency surface wave radar
HH,health hazard
HHA,health hazard analysis
HHA,health hazard assessment
HHAR,health hazard analysis report
HHAR,health hazard assessment report
HHG,household goods
HHM,hand held monitor
HHQ,higher headquarters
HHS,health and human services
HHSC,health hazard severity category
HI SWTR,hawaiian island shallow water training range
HICS,hardened intersite cable system
HIMARS,high-mobility artillery rocket system
HIRC,house international relations committee
HIS,hyperspectral imaging
HIS,hypermedia information system
HITL,hardware in the loop
HIV,human immunodeficiency virus
HLA,high level architecture
HLFD,high level functional description
HM,heavy metal
HM,hazardous materials
HMCTAT,hazardous material cost trade off analysis tool
HMD,helmet mounted display
HMI,human machine interface
HMIS,hazardous material information system
HMIS,hazardous material information sheet
HMMP,hazardous material management process
HMMP,hazardous material management plan
HMMV,highly mobile motorized wheeled vehicle
HMMWV,high mobility multipurpose wheeled vehicle
HMMWV,high mobility multi purpose wheeled vehicle
HMP,hazardous material pharmacy
HNA,host nation approval
HNS,host nation support
HNSC,house national security committee
HO,historian
HOA,head of agency
HOF,home office facility
HOF,height of function
HOF,health of fleet
HOI,headquarters office instruction
HOI,headquarters operating instruction 
HOIS,hostile intelligence services
HOL,higher order language
HOLA,household living allowance
HOOAH,an affirmation of agreement
HP,high power
HP,hewlett packard
HPA,head of procuring activity
HPAC,hazard prediction assessment capability
HPC,high performance computing
HPCC,high performance computing and communication
HPM,high power microwave
HPMSK,high priority mission support kit
HPSCI,house permanent select committee on intelligence
HPSE,head of principal staff element
HPSIP,hazard prediction system integration program
HPSP,health profession scholarship program
HPT,hazard prediction tool
HQ ACC,headquarters air combat command
HQ AETC,"headquarters, air education and training command"
HQ AFCA,"headquarters, air force communication agency"
HQ AFIC,hq air force intelligence command
HQ AFISA,headquarters air force intelligence supportagency
HQ AFLC,headquarters air force logistic command
HQ AFMC,headquarters air force materiel command
HQ AFMC,headquarter air force materiel command
HQ AFMPC,headquarters air force military personnel center
HQ AFRES,headquarters air force reserve
HQ AFSA,headquarters air force safety agency
HQ AFSC,headquarters air force safety center
HQ AFSC,headquarters air force systems command
HQ AFSPA,headquarters air force security police agency
HQ AFSPC,headquarters air force space command
HQ AIA,headquarters air intelligence agency
HQ AMC,headquarters air mobility command
HQ AMC,headquarters army materiel command
HQ ARPC/DSMR,headquarters air reserve personnel center/dsmr
HQ CSG,headquarters cryptologic system group
HQ ESC,headquarters electronic system centers
HQ NAVAIR,headquarters naval air system command
HQ USAF,headquarters united states air force
HQ USAFE,headquarters united states air forces europe
HQDA,headquarters department of the army
HQMC,headquarters marine corps
HR,hazard report
HRB,hazard review board
HRC,human resource centers
HRD,human resource development
HRDC,human resource development council
HRED,human research and engineering directorate
HRI,horizontal requirement integration
HRI,high risk of isolation
HRO,human resource office
HSC,health service command
HSC,human systems center
HSCT,high speed civil transport
HSD,human systems division
HSD,historical schedule database
HSI,health services inspection
HSI,human system interface
HSI,human systems integration
HSI,hyperspectral imaging hyperspectral imaging
HSIP,human system integration plan
HSLA,"high strength, low alloy"
HSM,hermetically sealed microcircuit
HSMS,hazardous substance management system
HSOK,hunter/standoff killer
HSPD,homeland security presidential directive
HSR,high-speed research
HSS,hunter sensor suite
HSW,human systems wing
HSWA,hazardous and solid waste amendment
HTA,high threat area
HTI,horizontal technology integration
HTL,high threshold logic
HTML,hyper text mark up language
HTPB,hydroxyl terminated polybutadiene
HTS,hazard tracking system
HTS,harm targeting system
HTSA,host tenant support agreement
HTSF,hard target smart fuze
HTSUS,harmonized tariff schedule of the united states
HUC,human use committee
HUD,head up display
HUD,heads-up display
HUD,housing and urban development
HUM,heads up message
HUMINT,human intelligence
HUMS,health usage monitoring system
HVI,high value individual
HVM,high velocity maintenance
HVSD,high value site defense
HVT,high value target
HW,hazardous waste
HW BOSS,hazardous waste base operation support systems
HW/SWIL,hardware/software in the loop
HWCI,hardware critical item
HWCI,hardware configuration item
HWL,hazard warning label
HWMP,hazardous waste management plan
HWSIT,hazardous waste site inspection team
HY,high yield
Hz,hertz
I&A,identification and authentication
I&E,iincome and expense
I&GTC,infrastructure and generic test capability
I&I,impact and implementation bargaining
I&L,installations and logistics
I&S,interchangeability and substitution
I&S,interchangeability and substitutability
I&SG,interchangeable and substitute group
I,A&CO,"integration, assembly and checkout"
I/A,inspection/acceptance
I/P,insurance/pension
I/P/O,input/process/output
I2L,integrated-injection logic
IA,international agreement
IA,implementing agency
IA,imagery analyst
IA,individual augmentee
IA,inspection authority
IA,information assurance
IAAFA,inter-american air forces academy
IAAP,iowa army ammunition plant
IAB,internet architecture board
IABST,integrated adaptive base support tool
IAC,information analysis center
IAC,integrating associate contractor
IAC,item activity code
IACP,international armament cooperation program
IACR,international agreement competitive restriction
IADS,integrated air defense simulation
IADS,integrated air defense systems
IADS,interactive authoring display system
IADT,initial active duty for training
IAEA,international atomic energy agency
IAG,installation acquisition group
IAG,international agreement generator
IAGC,inter american geodetic survey
IAGS,inter-american geodetic school
IAI,initial acceptability item
IAL,integrated avionics laboratory
IAO,information assurance office
IAP,independent assessment plan
IAP,initial accumulation point
IAR,independent assessment report
IARB,interagency audiovisual review board
IARR,interim agreed to rate recommendation
IAS,immediate access storage
IAS,intelligence analysis system
IASL,integrated aircraft simulation lab
IASL,integrated aircraft simulation laboratory
IASO,industrial analysis support office
IASP,integrated acquisition strategy panel
IASP,integrated acquisition strategy process
IAT,installation acquisition transformation
IAT,integrated acquisition team
IAT,internal air transport
IATA,international air transport association
IATO,interim authority to operate
IAV,inventory adjustment voucher
IAW,in accordance with
IB,inhabited building
IBA,industrial base assessment
IBA,interest bearing account
IBAD,interim biological agent detector
IBAHRS,inflatable body and head restraint system
IBC,industrial base capability
IBM,international business machines
IBMC,industrial base maintenance contract
IBOP,international balance of payment
IBP,iinternational balance of payments
IBP,industrial base planning
IBPM,industrial base program manager
IBR,integrated baseline review
IBR,incorporation by reference
IBR,investment balance review
IBR,investment budget review
ibs,integrated broadcast service
IC,integrated circuit
IC,implementation convention
IC,intelligence community
IC,interim change
IC,initial contact
ICA,institute of cost analysis
ICA,independent cost analysis
ICADS,integrated correlation and display system
ICAF,industrial college of the armed forces
ICAI,intelligent computer assisted instruction
ICAM,integrated computer aided manufacturing
ICAO,international civil aviation organization
ICAP,integrated contractor assessment program
ICAP,integrated communication access package
ICAP III,improved capabilities iii
ICAPS,internal control assessment planning summary
ICAPS,internal control audit planning summary
ICAPS,interactive computer aided provisioning system
ICAS,integrated condition assessment system
ICASE,integrated computer aided software environment
I-CASE,integrated-computer aided software engineering
ICB,information collection budget
ICBM,intercontinental ballistic missile
ICC,installation control center
ICC,interstate commerce commission
ICC,item category code
ICCB,interoperability configuration control board
ICD,imitative communications deception
ICD,initial capabilities documents
ICD,interface control document
ICDO,intl civil def organization
ICDS,improved container delivery system
ICE,independent cost estimate
ICG,interactive computerized graphic
ICI,interactive communication interface
ICIDS,integrated commercial intrusion detectionsystem
ICIS,integrated contract imaging system
ICMO,indirect cost monitoring office
ICMP,interagency council on metric policy
ICMP,internet control message protocol
ICN,item control number
ICO,intelligence counterpart officer
ICO,invoice control officers
ICOG,international cooperative opportunities group
ICOM,"inputs, controls, outputs, and mechanism"
ICP,inventory control point
ICP,international cooperative programs
ICPA,international cooperative program activity
ICPA,injury compensation program administrator
ICQ,internal control questionnaire
ICR,information collection and report
ICR,individual cashier's report
ICR&D,international cooperative research anddevelopment
I-CRRA,integrated capability review and risk assessment
ICS,internal customer support
ICS,independent cost study
ICS,interim contractor support
ICSE,initial common support equipment
ICSO,instructor combat systems officer
ICSP,installation chief of security police
ICSS,interim contractor supply support
ICT,integrated concept team
ICT,integrated combat turn
ICW,in connection with
ICW,interactive course ware
ICW,inner coastal waterway
ICW,in compliance with
ICWG,interface control working group
ID,identification
ID,initial distribution
ID,integrated diagnostic
ID,identification card
ID,indefinite delivery
IDA,initial denial authority
IDA,institute for defense analysis
IDAL,integrated defensive avionics lab
IDBS,interoperability data base system
IDC,indefinite delivery contract
IDC,integrated defense council
IDD,interface design document
IDD,interface design description
ID'd,identified
ID-DA,"indefinite delivery, definite quantity"
IDDS,integrated display development station
IDE,intrusion detection equipment
IDE,integrated data environment
IDE,integrated digital environment
IDE,intermediate developmental education
IDEA,international defense educational arrangement
IDEA,integrated decision/engineering aid
IDEF,integrated definition
IDHS,intelligence data handling system
IDIQ,indefinite delivery and indefinite quantity
IDIQ,indefinite delivery/indefinite quantity
ID-IQ,"indefinite delivery, indefinite quantity"
IDL,interface definition language
IDMS,integrated data management system
IDMT,independant duty medical technician
IDN,initial distribution number
IDO,installation deployment officer
IDOCS,intrusion detection optical communicationsystem
IDP,imminent danger pay
IDP,individual development plan
IDP,integration decision paper
IDP,integrated defense plan
IDPO,indefinite delivery purchase order
IDR,indicative data record
ID-RC,"indefinite delivery, requirements contract"
IDS,intrusion detection system
IDSD,integrated diagnostic support demonstration
IDSS,item and dollar summary stratification
IDSS,interoperability decision support system
IDSS,item dollar summary stratification
IDSS,integrated decision support system
IDSS,inquiry delivery schedule status
IDT,inactive duty training
IDT,interfund dollar transfers
IDTC,indefinite delivery type contract
IDUP,independent data unit protection
IDWA,inter-divisional work authorization
IDWG,integrated defense working group
IE,information engineering
IE,industrial engineer
IE,instrumentation engineer
IE,independent evaluation
IEA,industrial engineering activity
IEA,information exchange annex
IEA,information exchange annexess
IEB,initial evaluation briefing
IEC,international electrotechnical commission
IEC,integration and evaluation center
IEC,item entry control
IEC,item essentiality code
IED,improvised explosive devices
IEEE,institute of electrical and electronicsengineers
IEM,initial evaluation memorandum
IEMG,international engine management group
IEMP,international engine management program
IEP,information exchange project
IEP,individual education plan
IEP,independent evaluation plan
IEPG,independent european program group
IER,information exchange requirement
IER,independent evaluation report
IER/IAR,independent evaluation/assessment report
IES,institute of environmental science
IES,industrial engineering standard
IESG,internet engineering steering group
IESS,integrated electromagnetic system simulator
IESS,imagery exploitation support system
IETF,internet engineering task force
IETM,interactive electronic technical manual
IETM,integrated electronic technical manual
IETMS,ietms - interactive electronic technical manuals
IEW,intelligence and electronic warfare
IEWCS,intelligence and electronic warfare commonsensor
IF,industrial fund
IFAS,industrial fund accounting system
IFAST,integrated facility for avionics systems testing
IFB,invitation for bid
IFB/RFP,invitation for bid/request for proposal
IFBGS,interdepartmental fund billing group system
IFC,instrument flight center
IFCM,integrated flight control module
IFCS,improved fire control system
IFD,interim feasibility demonstration
IFE,in-flight emergency
IFEM,integrated force and execution management
IFF,identification friend or foe
IFM,integrated force management
IFMS,interagency fleet management system
IFN,item for negotiation
IFO,influence operations
IFOG,interferometric fiber optic gyro
IFOR,implementation force
IFPP,information for proposal preparation
IFPP,instruction for proposal preparation
IFPP,instruction for preparation of proposal
IFPUG,international function point user group
IFR,instrument flight rules
IFRB,international frequency registration board
IFSAC,international fire service accreditationcongress
IFSAR,increased attention are radar
IFSG,industrial forecasting support group
IFSTA,international fire service training association
IFV,infantry fighting
IG,inspector general
IG, DoD,inspector general of the department of defense
IGCE,independent government cost estimate
IGE,independent government estimate
IGES,initial graphic exchange specification
IGMP,internet group management protocol
IGP,intelligent gateway processor
IGS,internal guidance system
IGS,intergovernmental support
IGS,individual generation site
IHADSS,integrated helmet and display sighting system
IHE,insensitive high explosive
IHHAR,initial health hazard assessments report
IHIMS,industrial hygiene information managementsystem
IHM,inspection history maintenance
IHMM,installation hazardous material manager
IHO,in honor of
IIA,institute of internal auditors
IIC,identifiable incremental cost
IIC,item identity code
IICE,information integration for concurrentengineering
IIN,item identification number
IIP,interoperability improvement panel
IIPT,integrating integrated product team
IIPT,integrating integrated process team
IIR,interim installation record
IIR,imaging infrared
IIRN,inactive item review notification
IIRP,improved item replacement program
IIRS,integrated inventory reduction system
IIV&V,internal independent
IJMS,interim jtids message specification
IKE,integrated knowledge environment
IKPT,instructor and key personnel training
IL,international logistics
ILA,independent logistic assessment
ILC,international logistics center
ILC,irrevocable letter of credit
ILCM,information life cycle management
ILCS,international logistics communication system
ILF,infra low frequency
ILID,international logistic identification directory
ILID,international logistic identification data
ILIF,international logistics information file
ILO,"international logistic office, custom division"
ILOSS,international logistics overseas support system
ILP,international logistics program
ILRO,industrial labor relations officer
ILS,integrated logistics support
ILS,inventory locator system
ILS,instrument landing system
ILSDP,international logistic supply delivery plan
ILSM,integrated logistics support manager
ILSMT,integrated logistics support management team
ILSO/ILSM,integrated logistic support officer/managers
ILSP,integrated logistics support plan
ILSR,integrated logistic support review
ILSS,integrated logistics support summary
ILS-S,integrated logistics system - supply
ILT,independent lab testing
IM,interface memorandum
IM,item manager
IM,information management
IM,interface management
IM,information manager
IM,insensitive munition
IM,inventory manager
IM&D,information management and display
IMA,independent medical assessor
IMA,individual mobilization augmentee
IMA,intermediate maintenance activity
IMA,individual mobilization augment
IMA,installation management agency 
IMA,information mission area
IMAC,intermediate maintenance area coordinator
IMAC,industrial materials analysis of capacity
IMAT,interactive multisensor analysis training
IMB,interface management board
IMC,item marking code
IMC,international maritime commission
IMC,integrated maintenance concept
IMC,instrument meteorological condition
IMC,interim message change
IMC,internal management control
IMC,item management code
IMCD,item manager control data
IMCO,information management control officer
IMCP,im career program
IMCR,internal management control review
IMD,information management department
IMD,information management directorate
IMDE,integrated model development environment
IMDG,international maritime dangerous goods
IMDS,integrated maintenance data systemâ â â  
IME,international materiel division
IMET,international military education and training
IMETS,integrated meteorological system
IMF,intelligent minefield
IMF,intermediate maintenance facility
IMF,information management flight
IMH,international military headquarters
IMI,interactive multimedia instruction
IMI,industrial and maintenance inspection
IMI,industrial maintenance inspection
IMINT,imagery intelligence
IMIP,industrial modernization incentives program
IMIP,industrial modernization improvement program
IMIS,integrated management information system
IMIS,integrated maintenance information system
IML,intermediate maintenance level
IMM,integrated materiel management
IMM,integrated materiel manager
IMMC,integrated materiel management center
IMMP,integrated master modification plan
IMMP,integrated modification management plan
IMMP,improved maintenance management program
IMMS,independent munitions maintenance section
IMMU,independent munitions maintenance unit
IMO,international maritime organization
IMO,information management officer
IMO,installation mobility officer
IMO,inter national maritime organization
IMOM,improved many on many
IMP,integrated management plan
IMP,integrated maintenance program
IMP,integrated master plan
IMP,inventory management plan
IMP,infrastructure modernization program
IMP/IMS,integrated master plan/integrated masterschedule
IMPATT,ionization and transit time
IMQ,item manager quantity
IMR,item management review
IMR,inventory management review
IMR,internal management review
IMR,information management-records
IMR,individual medical readiness
IMRB,item management review board
IMRB,independent modification review board
IMS,integrated management system
IMS,international military student
IMS,integrated master schedule
IMS,ion mobility spectroscopy
IMS,inventory management specialist
IMS,inventory management system
IMS,integrated management schedule
IMS,item management specialist
IMSM,international military student manager
IMSO,international military student officer
IMT,international military training
IMT,international military trainee
IMTA,intermediate message transfer agent
IMTEC,information management and technology division
IMU,inertial measurement unit
IMW,interactive management workshop
IMWRP,item manager wholesale requisition process
IN,intelligence expert
IN,intelligence
INC,international narcotics control
IND,investigation new drug
IND DEL,indefinit delivery
INEL,idaho national engineering laboratory
INF,intermediate range nuclear forces
INFOCEN,information central
INFOSEC,information security
ING,inactive national guard
INL,international narcotic and law enforcement
INR,initial nuclear radiation
INR,intelligence and research
INS,inertial navigation system
INSCOM,u.s. army intelligence and security command
INSI,initial nuclear surety inspection
INSRP,interagency nuclear safety review panel
INST,information standard
INSURV,inspection and survey
INTrep,intelligence report
INW,in work
INWS,installation notification and warning system
IO,investigating officer
IO,independent observer
IO,information operations
IOA,internal operations assessment
IOC,industrial operation command
IOC,information operations center
IOC,initial operating capability
IOC,initial operational capability
IOE,independent operational evaluation
IOE,initial outfitting equipment
IOE/A,independent operational evaluator/assessor
IOF,"information operations flight,"
IOFC,information operations fundamentals course
IOI,item of interest
IOIC,information operations integration course
IOL,initial operating level
IOL,initial outfitting list
IOM,inter-office memorandum
IOS,interim operational supplement
IOS/SOS,international officer/squadron officer school
IOSS,inter agency opsec support staff
IOT,information operations team
IOT,initial operational test
IOT&E,initial operational test and evaluation
IOTE,initial operational test and evaluation
IP,instructor pilot
IP,information protection
IP,industrial preparedness
IP,initial provisioning
IP,internet protocol
IP,informational program
IP,interservice publication
IP,implementation plan
IPA,integrated program assessment
IPA,intergovernmental personnel act
IPA,independent public accountant
IPA,intransit property area
IPAA,information protection assistance andassessment
IPAP,interagency placement assistance program
IPAP,information protection assessment program
ipawg,international parters aehf working group
IPB,interoperability policy board
IPB,illustrated part breakdown
IPB,intelligence preparation of the battlefield
IPC,interconnecting and packaging electroniccircuit
IPCE,independent parametric cost estimate
IPCOTS,in place consecutive overseas tour
IPCP,internet protocol control protocol
IPD,in-place date
IPD,international program directive
IPD,integrated product development
IPD,issue priority designator
IPDC,integrated product development center
IPDD,integrated product design and development
IPDE,integrated product data environment
IPDF,indexed adobeâ„¢ portable document format
IPDF,indexed portable document format
IPDP,integrated product development process
IPDT,integrated product development team
IPE,information processing equipment
IPE,industrial plant equipment
IPE,increased performance engine
IPE,initial production evaluation
IPE,"improvements, and plant equipment"
IPF,initial production facilities
IPG,issue priority group
IPI,inventory of principal item
IPI,input package interface
IPI,in process inspection
iPID,interactive problem item data sheet
IPL,initial program load 
IPL,imagery product library
IPM,industrial preparedness measures
IPM,integrated product management
IPMS,integrated product management system
IPMS,information processing management system
IPO,interfund purchase order
IPO,information protection office
IPO,international program office
IPO,international programs office 
IPP,industrial preparedness planning
IPP,industrial preparedness production
IPPD,integrated product and process development
IPPL,industrial preparedness planning list
IPPM,integrated product and process management
IPPP,industrial preparedness planning program
IPPT,integrated product or process team
IPR,in process review
IPR,interim program review
IPR,individual pay record
IPR,in-progress/process review
IPR,industrial plant representative
IPR,interim progress review
IPRB,installation planning review board
IPS,integrated publishing system
IPS,integrated program summary
IPS,indirect pricing system
IPS,information processing system
IPSA,indorsed project support agreement
IPSC,integrated product support course
IPSO,information processing service organization
IPSP,intelligence priorities for strategic planning
IPSS,initial pre-planned supply support
IPT,integrated process team
IPT,integrated product team
IPT,integrated project team
IPTS,inpatient operations squadron
IPV,industrial pressure vessel
IQ,indefinite quantity
IQC,indefinite quantity contract
IQUE,in-plant quality evaluation
IR,information report
IR,infrared
IR,information resource
IR&D,independent research and development
IR&DCDROM,independent research & development cd-rom
IR/UV,infrared/ultraviolet
IRAC,interdepartmental radio advisory committee
IRAD,see ir&amp;d
IRAN,inspect and repair as necessary
IRB,investment review boardâ
IRB,infrastructure review board
IRB,initial response base
IRC,information resources committee
IRC,internal revenue code
IRCM,infrared counter measures
IRCN,interagency report control number
IRD,initial requirement determinationâ â â â â â  
IRDS,information resource dictionary systems
IREN,infosec research and engineering network
IRF,initial response force
IRFA,initial regulatory flexibility analysis
IRFPA,ir focal plane array
IRHVTA,infrared high value target acquisition
IRIG,inter range instrumentation group
IRIG-B,inter range instrumentation group b
IRIS,interrogation requirement information system
IRL,integration readiness level
IRM,intelligence requirements matrix
IRM,initial review meeting
IRM,information resource management
IRM,information resources manager
IRMC,information resource management college
IRMP,integrated risk management process
IRMS,information resource management software
IRO,independent review officer
IRO,internal review office
IRP,installation restoration program
IRP,internet release package
IRPP,installation resource protection plan
IRR,individual ready reserve
IRR,internal rate of return
IRRB,integrated requirement review board
IRRD,item release/receipt document
IRRM,information report requirement managers
IRRM,information reports requirement management
IRS,internal revenue service
IRS,interface requirements specification
IRSG,infrared scene generator
IRSS,information resources support system
IRST,infrared search and track
IRT,initial response team
IRTS,incident reporting and tracking system
IRTS,identify and correct deficiency
IRU,inertial reference unit
IRV,improved recovery vehicle
IS&RP,initial spare and repair part
IS&RR,independent safety and readiness review 
IS&T,information systems and technology
IS0,"international standardization office, hqusaf/xoxx"
ISA,integrated servo actuator
ISA,information system architecture
ISA,interservice support agreement
ISA,international standardization agreement
ISA,instruction set architecture
ISA,international security assistance
ISA,international security affairs
ISAC,issue screening and analysis committees
ISAG,information service activity group
ISAN,international security assistance network
ISAR,inverse synthetic aperture radar
ISB,industrial security bulletin
ISC,individual service contract
ISC,interservice support center
ISC,information system command
ISC2,integrated space command & control
ISD,installation start date
ISD,instructional system development
ISD,information system directive
ISD/RDD,installation start date/required delivery date
ISDN,integrated service digital network
ISE,integrated system evaluation
ISEA,in service engineering agent
ISEA,in-service engineering agent 
ISEA,in service engineering activity
ISEC,information system engineering command
ISEE,integrated system engineering environment
ISEM,integrated space environmental model
ISEW,"intelligence, security and electronic warfare"
ISF,integration support facility
ISF,implied shortage factor
ISG,industry steering group
ISISS,integrated tw/aa sensors integrated systemsupport
ISL,industrial security letter
ISL,integrated stock list
ISL,initial support list
ISLMR,intrinsically safe land mobile radio
ISM,industrial security manual
ISM,"industrial, scientific, and medical"
ISM,installation support modules
ISM,installation support model
ISMT,integrated system maintenance trainer
ISMT,information system management tool
ISO,initial squadron operation
ISO,international standards organization
ISO,isochronal
ISO,international organization for standardization
ISO,in support of
ISOM,industrial security operating manual
ISOO,information security oversight office
ISOR,industrial security operating regulation
ISP,integrated support plan
ISP,intelligence support plan
ISP,information support plan
ISPA,international society of parametric analyst
ISPM,information security program manager
ISR,"intelligence, surveillance, reconnaissance"
ISR,"intelligence, surveillance, and reconnaissance"
ISR,implementation support requirement
ISR,independent sufficiency review
ISR,information system resources
ISR,industrial security regulation
ISRI,information storage and retrieval interface
ISRPP,installation security/resource protection plan
ISRS,information system resource software
ISS,information systems security
ISS,integrated support station
ISS,intelligence system secretariat
ISS,interim safety supplement
ISS,interim supply support
ISSA,inter service support agreement
ISSC,information system support center
ISSG,intelligence support steering group
ISSG,interchangeable or suitable substitute group
ISSL,initial spares support list
ISSL,initial spare support list
ISSM,information system security managers
ISSO,information system security officer
ISSP,interservice supply support procedure
ISSP,interservice supply support program
ISSR,information system security representative
IST,initial support team
IST,installed system test
IST,integrated surveillance team
ISTD,integrated space technology demonstration
ISTF,integrated system test facility
ISTF,installed system test facility
ISTL,integrated standardized training listing
ISU,issue request transaction
ISU,issue requester transaction
ISV,individual survivability
ISVS,international switched voice system
ISVS,international switched voice service
ISWG,industry standard working group
ISWG,intelligence support working group
ISX,information superiority experiment
IT&S,"information, technologies,and system"
IT2,international technology transfer panel
ITA,international trade administration
ITA,interface test adapter
ITA,industry and trade administration
ITA,information technology architecture
ITAA,information technology association of america
ITAB,information technical acquisition board
ITAC,intelligence and threat analysis center
ITAC,information technology applications center
ITACEN,information technology acquisition center
ITAM,integrated training area management
ITAMP,integrated task and management plan
ITAR,international traffic in arms regulation
ITAS,improved target acquisition system
ITB,integrated test bed
ITCF,inter tool communication facility
ITCTO,interim time compliance technical order
ITD,integrated test director
ITD,interim terrain data
ITD,information technology directorate
ITD,instructions to defense
ITDS,integrated technical data system
ITEA,international test and evaluation association
ITEC,information technology electronic commerce
ITEP,international test and evaluation procedures
ITF,information technology facility
ITIES,interservice technical information exchangesystem
ITK,individual tool kit
ITMRA,information technology management reform act
ITMRA,information technology reform act
ITMSP,information technology management strategicplan
ITO,instruction to offeror
ITO,invitational travel order
ITO,information to offeror
ITO,installation transportation office
ITO,interim to
ITO,invitation to offeror
ITO,instruction to offer
ITOP,international test operation procedures
ITP,individual training plan
ITP,integrated test plan
ITPB,information technology policy board
ITPS,integrated test program schedule
ITR,individual training record
ITRUS,information technology reuse
ITS,inventory tracking systemâ  
ITS,interrogate threat system
ITS,integrated tool set
ITS,information technology systems
ITSEC,information technology security
ITSG,information technology standard guidance
ITSG,information technology standards guide
ITSI,information technology standards information
ITSP,information technolgy support program
ITSS,information technical support service
ITT,integrated test team
ITTO,information ticket and tour office
ITTS,"instrumentation, targets, and threat simulator"
ITTS,"instrumentation, targets, and threat simulators"
ITU,international telecommunication union
ITV,in-transit visibility
ITW/AA,integrated tactical warning and attackassessment
IU,installation unit
IU,internal user data group
IU,image understanding
IUA,image understanding architecture
IUC,intermediate unit commander
IUF,isolated unit funds
IULS,incremental upgrade of legacy systems
IV,implementation visits
IV,inventory variance
IV&V,independent verification and validation
IV&V,installation verification and validation
IVA,immediate visual assessment
IVD,interactive video disc
IVO,in vicinity of
IW,information warfare
IW/C2W,information warfare/command and control warfare
IWF,information warfare flight
IWIPS,international weapon item projection systems
IWP,in service work plan
IWS,infoworkspace
IWSDB,integrated weapon system database
IWSM,integrated weapon system management
IWSMP,integrated weapon system master plan
IWSSF,integrated weapon system software facility
IWSSS,integrated weapon system support strategy
IXMP,information transfer standard management panels
J&A,justification and authorization
J&A,justification and approval
J-4,"joint staff, logistic directorate"
J-6,joint staff director for c4s
JA,judge advocate
JAB,joint advisory board
JAC,joint analysis center
JACG,joint aeronautical commander group
JAD,joint application design
JADS,joint advanced distributed simulation
JAG,judge advocate general
JAHUM,joint advanced health and usage monitoring
JAIEG,joint atomic information exchange group
JAMAC,joint aeronautical material activity
JAMC,joint amphibious mine countermeasures
JAMIP,joint analytical model improvement program
JAMPS,joint automated message preparation system
JAMS,joint acquisition management system
JAN,joint army-navy
JANAP,joint army navy air force publication
JANNAF,"joint army, navy, nasa, and airfare"
JAOC,joint air operations center
JARB,joint acquisition review board
JARP,joint analysis review panel
JASA,joint accreditation support activity
JASA,joint airborne sigint architecture
JASSM,joint air-to-surface standoff missile
